name,shape,numel,layer,kind
model.layers.15.mlp.down_proj.weight,5120x13824,70778880,15,mlp.down_proj
model.layers.15.input_layernorm.weight,5120,5120,15,pre_attn_norm
model.layers.15.post_attention_layernorm.weight,5120,5120,15,post_attn_norm
model.layers.16.self_attn.q_proj.weight,5120x5120,26214400,16,attn.q_proj
model.layers.16.self_attn.k_proj.weight,5120x5120,26214400,16,attn.k_proj
model.layers.16.self_attn.v_proj.weight,5120x5120,26214400,16,attn.v_proj
model.layers.16.self_attn.o_proj.weight,5120x5120,26214400,16,attn.o_proj
model.layers.16.mlp.gate_proj.weight,13824x5120,70778880,16,mlp.gate_proj
model.layers.16.mlp.up_proj.weight,13824x5120,70778880,16,mlp.up_proj
model.layers.16.mlp.down_proj.weight,5120x13824,70778880,16,mlp.down_proj
model.layers.16.input_layernorm.weight,5120,5120,16,pre_attn_norm
model.layers.16.post_attention_layernorm.weight,5120,5120,16,post_attn_norm
model.layers.17.self_attn.q_proj.weight,5120x5120,26214400,17,attn.q_proj
model.layers.17.self_attn.k_proj.weight,5120x5120,26214400,17,attn.k_proj
model.layers.17.self_attn.v_proj.weight,5120x5120,26214400,17,attn.v_proj
model.layers.17.self_attn.o_proj.weight,5120x5120,26214400,17,attn.o_proj
model.layers.17.mlp.gate_proj.weight,13824x5120,70778880,17,mlp.gate_proj
model.layers.17.mlp.up_proj.weight,13824x5120,70778880,17,mlp.up_proj
model.layers.17.mlp.down_proj.weight,5120x13824,70778880,17,mlp.down_proj
model.layers.17.input_layernorm.weight,5120,5120,17,pre_attn_norm
model.layers.17.post_attention_layernorm.weight,5120,5120,17,post_attn_norm
model.layers.18.self_attn.q_proj.weight,5120x5120,26214400,18,attn.q_proj
model.layers.18.self_attn.k_proj.weight,5120x5120,26214400,18,attn.k_proj
model.layers.18.self_attn.v_proj.weight,5120x5120,26214400,18,attn.v_proj
model.layers.18.self_attn.o_proj.weight,5120x5120,26214400,18,attn.o_proj
model.layers.18.mlp.gate_proj.weight,13824x5120,70778880,18,mlp.gate_proj
model.layers.18.mlp.up_proj.weight,13824x5120,70778880,18,mlp.up_proj
model.layers.18.mlp.down_proj.weight,5120x13824,70778880,18,mlp.down_proj
model.layers.18.input_layernorm.weight,5120,5120,18,pre_attn_norm
model.layers.18.post_attention_layernorm.weight,5120,5120,18,post_attn_norm
model.layers.19.self_attn.q_proj.weight,5120x5120,26214400,19,attn.q_proj
model.layers.19.self_attn.k_proj.weight,5120x5120,26214400,19,attn.k_proj
model.layers.19.self_attn.v_proj.weight,5120x5120,26214400,19,attn.v_proj
model.layers.19.self_attn.o_proj.weight,5120x5120,26214400,19,attn.o_proj
model.layers.19.mlp.gate_proj.weight,13824x5120,70778880,19,mlp.gate_proj
model.layers.19.mlp.up_proj.weight,13824x5120,70778880,19,mlp.up_proj
model.layers.19.mlp.down_proj.weight,5120x13824,70778880,19,mlp.down_proj
model.layers.19.input_layernorm.weight,5120,5120,19,pre_attn_norm
model.layers.19.post_attention_layernorm.weight,5120,5120,19,post_attn_norm
model.layers.20.self_attn.q_proj.weight,5120x5120,26214400,20,attn.q_proj
model.layers.20.self_attn.k_proj.weight,5120x5120,26214400,20,attn.k_proj
model.layers.20.self_attn.v_proj.weight,5120x5120,26214400,20,attn.v_proj
model.layers.20.self_attn.o_proj.weight,5120x5120,26214400,20,attn.o_proj
model.layers.20.mlp.gate_proj.weight,13824x5120,70778880,20,mlp.gate_proj
model.layers.20.mlp.up_proj.weight,13824x5120,70778880,20,mlp.up_proj
model.layers.20.mlp.down_proj.weight,5120x13824,70778880,20,mlp.down_proj
model.layers.20.input_layernorm.weight,5120,5120,20,pre_attn_norm
model.layers.20.post_attention_layernorm.weight,5120,5120,20,post_attn_norm
model.layers.21.self_attn.q_proj.weight,5120x5120,26214400,21,attn.q_proj
model.layers.21.self_attn.k_proj.weight,5120x5120,26214400,21,attn.k_proj
